"extract","city","sum"
"2007","A Corua (La Corua)","106.72"
"2007","Abha","86.77"
"2007","Abu Dhabi","99.71"
"2007","Acua","100.77"
"2007","Adana","74.81"
"2007","Addis Abeba","91.77"
"2007","Aden","134.70"
"2007","Adoni","97.80"
"2007","Ahmadnagar","99.74"
"2007","Akishima","108.73"
"2007","Akron","134.71"
"2007","al-Ayn","102.76"
"2007","al-Hawiya","75.83"
"2007","al-Manama","108.76"
"2007","al-Qadarif","57.81"
"2007","al-Qatif","91.78"
"2007","Alessandria","88.80"
"2007","Allappuzha (Alleppey)","98.76"
"2007","Allende","96.77"
"2007","Almirante Brown","85.78"
"2007","Alvorada","75.79"
"2007","Ambattur","111.76"
"2007","Amersfoort","88.78"
"2007","Amroha","81.78"
"2007","Angra dos Reis","92.80"
"2007","Anpolis","93.75"
"2007","Antofagasta","124.74"
"2007","Aparecida de Goinia","90.78"
"2007","Apeldoorn","191.62"
"2007","Araatuba","85.77"
"2007","Arak","90.75"
"2007","Arecibo","144.68"
"2007","Arlington","87.80"
"2007","Ashdod","129.70"
"2007","Ashgabat","126.74"
"2007","Ashqelon","86.81"
"2007","Asuncin","87.79"
"2007","Athenai","130.76"
"2007","Atinsk","104.72"
"2007","Atlixco","128.70"
"2007","Augusta-Richmond County","105.73"
"2007","Aurora","159.58"
"2007","Avellaneda","129.71"
"2007","Bag","73.85"
"2007","Baha Blanca","81.81"
"2007","Baicheng","109.73"
"2007","Baiyin","110.76"
"2007","Baku","89.78"
"2007","Balaiha","84.81"
"2007","Balikesir","145.64"
"2007","Balurghat","86.75"
"2007","Bamenda","96.78"
"2007","Bandar Seri Begawan","107.66"
"2007","Banjul","114.73"
"2007","Barcelona","66.79"
"2007","Basel","57.87"
"2007","Bat Yam","67.86"
"2007","Batman","133.70"
"2007","Batna","107.73"
"2007","Battambang","92.76"
"2007","Baybay","116.72"
"2007","Bayugan","92.75"
"2007","Bchar","89.77"
"2007","Beira","142.66"
"2007","Bellevue","91.80"
"2007","Belm","140.69"
"2007","Benguela","93.80"
"2007","Beni-Mellal","73.80"
"2007","Benin City","108.78"
"2007","Bergamo","137.67"
"2007","Berhampore (Baharampur)","65.81"
"2007","Bern","106.76"
"2007","Bhavnagar","96.79"
"2007","Bhilwara","147.71"
"2007","Bhimavaram","115.72"
"2007","Bhopal","134.68"
"2007","Bhusawal","103.74"
"2007","Bijapur","154.66"
"2007","Bilbays","110.72"
"2007","Binzhou","132.70"
"2007","Birgunj","93.83"
"2007","Bislig","71.81"
"2007","Blumenau","126.73"
"2007","Boa Vista","130.68"
"2007","Boksburg","131.69"
"2007","Botosani","118.69"
"2007","Botshabelo","95.72"
"2007","Bradford","72.79"
"2007","Braslia","72.82"
"2007","Bratislava","80.77"
"2007","Brescia","113.75"
"2007","Brest","77.81"
"2007","Brindisi","120.71"
"2007","Brockton","116.75"
"2007","Bucuresti","99.73"
"2007","Buenaventura","89.77"
"2007","Bydgoszcz","27.93"
"2007","Cabuyao","123.71"
"2007","Callao","79.81"
"2007","Cam Ranh","149.69"
"2007","Cape Coral","208.58"
"2007","Caracas","94.75"
"2007","Carmen","95.79"
"2007","Cavite","114.72"
"2007","Cayenne","97.80"
"2007","Celaya","102.76"
"2007","Chandrapur","108.71"
"2007","Changhwa","149.61"
"2007","Changzhou","133.68"
"2007","Chapra","86.82"
"2007","Charlotte Amalie","121.69"
"2007","Chatsworth","74.83"
"2007","Cheju","84.80"
"2007","Chiayi","89.78"
"2007","Chisinau","127.66"
"2007","Chungho","100.76"
"2007","Cianjur","73.76"
"2007","Ciomas","108.72"
"2007","Ciparay","65.83"
"2007","Citrus Heights","96.77"
"2007","Citt del Vaticano","146.68"
"2007","Ciudad del Este","80.82"
"2007","Clarksville","83.82"
"2007","Coacalco de Berriozbal","88.81"
"2007","Coatzacoalcos","125.74"
"2007","Compton","92.76"
"2007","Coquimbo","110.74"
"2007","Crdoba","85.77"
"2007","Cuauhtmoc","134.72"
"2007","Cuautla","91.75"
"2007","Cuernavaca","109.76"
"2007","Cuman","111.73"
"2007","Czestochowa","100.76"
"2007","Dadu","113.72"
"2007","Dallas","105.76"
